app,id,primary_clue,issue_key,group_size,primary_category
途牛,10010000002573,在聊天信息输入过程中，输入法弹出之后，点击表情Button，输入法消失之前，包含有大量表情的布局就出现在了输入法上方，并随着输入法消失…,message_send.chat.layout_issue,5,Functional-Social
途牛,10010000004843,缺少功能，无法查看聊天记录、并且无法直接取消关注，必须要到该用户的主页上或者在自己的关注里面取消关注，非常不便。,message_send.list_item.cannot_or_fail,5,Functional-Social
Slife,10010000010036,将即时运动成果分享到第三方平台时，分享至微博出现文件不存在的提示，无法分享。分享至朋友圈时，无法分享。,share.share_panel.cannot_share,39,Functional-Share
Slife,10010000007539,点击朋友圈进行分享，先是截屏中然后分享中，然后发送失败请重试，期间会出现极速闪屏，不实现分享就退出现象，其功能不完善，不正常的退出，影…,share.share_panel.cannot_send,15,Functional-Share
Slife,10010000010237,分享功能不能使用微信朋友圈分享，其他都可以分享。,share.share_panel.cannot_or_fail,14,Functional-Share
Slife,10010000009870,在进入设定目标时，只展现了每天的步行步数目标，而没有其他信息，使用户无法直接了解到设定的目标信息。,step_count.step.cannot_or_fail,14,Functional-Tracking
Slife,10010000010271,无法将结果分享至微信朋友圈中，而且微信是在打开的情况下,share.share_panel.wrong_value,13,Functional-Share
Slife,10010000007769,侧边栏没有用户任务的相关设置，只有在设置子功能中设置相关的卡路里，而且设置时必须重头开始，没有直接增加每日卡路里的选择项，增加每日运动…,run_walk.page_view.cannot_or_fail,11,Functional-Tracking
Slife,10010000010337,在将数据分享到微博时，会提示文件不存在，无法分享。还会提示网络有问题，而网络其实是没有问题的。并且在分享界面中使用kikbug无法截图…,share.page_view.cannot_share,8,Functional-Share
Slife,10010000009948,不运动时，app的步数显示每秒钟自动增长20步左右，如图 。,step_count.step.wrong_value,8,Functional-Tracking
Slife,10010000010154,运动结果不能通过 qq分享，选择QQ之后会停滞在当前页面，不进行跳转。而且对手机上各个应用的版本有要求，比如本人手机安装的微信版本不支…,share.page_view.cannot_or_fail,7,Functional-Share
Slife,10010000010278,"当进行邮件分享的时候，(此处可以保证输入的邮箱和密码是正确的),尽管已经将提供的协议全部进行测试，结果显示，邮箱分享功能存在严重的bu…",share.page_view.wrong_value,7,Functional-Account
Slife,10010000010057,分享不成功，分享到朋友圈闪退，分享到QQ一直处于分享中。微博可以分享。,share.share_panel.crash,5,Crash
Slife,10010000011039,一般大多数这样的计步软件，都是根据人体走路的颠簸频率来计数，但是当用户骑车坐车的时候，就会出现数不清的差错。那可不可以把在不同地方(比…,step_count.list_item.wrong_value,5,Functional-Tracking
Slife,10010000010612,除了步数其他三项延迟太严重，过了两分钟才出来，不是实时显示，比同类产品觅动还差！,step_count.step.freeze,5,Performance/Freeze
Slife,10010000007485,注册页面仅有一次密码输入，没有再次确认密码，密码框多数是隐藏输入的，可能会因为手误出现错误，输入完成直接注册，会增加错误概率，所以功能…,register.page_view.wrong_value,4,Functional-Account
Slife,10010000010768,当用户步行或跑步的等方式运动一段时间后停止，必须要用户自己切换成停留模式，不能自动感应，不计算入运动时间里面。,run_walk.step.cannot_or_fail,4,Functional-Tracking
Slife,10010000007714,点击用户头像，出现头像设置界面，出现3个选择项，相机(现拍照片)，图片(从相册中选择)，默认头像，此时选择第2个功能，通过系统默认相册…,settings.page_view.no_prompt,4,UI/Display
Slife,10010000007541,分享至facebook，点击facebook图标，先是出现截屏中、分享中、然后就是loading页面，一直是loading，直至手机自…,share.button_icon.cannot_send,4,Functional-Share
Slife,10010000011026,由于国内并不能使用facebook，然而Slife没有优化这一点，所以分享至facebook就会出现一直加载的现象，如图,share.share_panel.load_fail,4,Network/Loading
Slife,10010000010878,步数记录问题。当运动速度过快时，步数统计和时间统计以及卡路里统计并不能记录上。,step_count.list_item.cannot_or_fail,4,Functional-Tracking
Slife,10010000010135,不能自行修改目标步数，只能根据软件本事设置的公式设置目标步数！,step_count.page_view.cannot_or_fail,4,Functional-Tracking
Slife,10010000007470,"注册:用户名输入框内没有描述用户名命名的规则，也就是你允许我随便取名，当输入名称为一个 点 时，即 "" . "" 时，又提示命名格式错误…",register.input_box.wrong_value,3,Functional-Account
Slife,10010000010750,设置运动目标功能，在个人设置选择好个人信息后，得到建议运动量，此时不点击完成，点击上一步修改个人信息，修改个人信息后，建议运动量不更新,run_walk.page_view.wrong_value,3,Functional-Tracking
Slife,10010000010735,运动结果经过一段时间后会出错。一开始我是“17步，7米，0.5卡路里”，后来变成“17步，0米，0卡路里”。,run_walk.step.wrong_value,3,Functional-Tracking
Slife,10010000010194,添加好友的搜索不能用，添加好友不成功,search.chat.cannot_or_fail,3,Functional-Search
Slife,10010000011371,"分享到""facebook""时,点击facebook图标后, (由于手机未安装facebook或其它原因而不能分享,此时该app应给予提…",share.button_icon.cannot_share,3,Functional-Share
Slife,10010000010426,无法将运动结果分享到微信的好友圈,share.chat.cannot_or_fail,3,Functional-Share
Slife,10010000010670,步数多的所对应的卡路里没有步数少的对应的卡路里多，并且，在目标设定的最后一个界面，这个界面既可以根据公式算出，但是也可以自己手动调节，…,step_count.page_view.wrong_value,3,Functional-Tracking
Slife,10010000010416,运动过程中，关闭GPS定位，手部如果不做出大幅度动作，应用就无法统计数据。,gps_track.gps.cannot_or_fail,2,Functional-Tracking
Slife,10010000011404,在反复检查微信的登录情况并确保微信正常登录运行的状况下，系统总是无法在微信朋友圈分享，而QQ则不存在问题,login.share_panel.cannot_or_fail,2,Functional-Account
Slife,10010000007562,"注册时未设置密码确认,若用户由于疏忽输错了密码,就无法发现",register.page_view.cannot_or_fail,2,Functional-Account
