__sheet__,app,id,id_norm,issue_key,issue_key_norm,text_used,raw_text_len,norm_text_len,has_anchor
jayme,jayme,10010000009554,10010000009554,groupchat.other.other,groupchat.other.other,当入群条件为群主同意后可加，允许成员添加时，成员能在群主不同意的情况下拉入成员。,40,37,1
jayme,jayme,10010000009019,10010000009019,other.other.other,other.other.other,当别人拉你进群的时候，不需要经过自己的同意就被直接拉进群了，这样很容易让推销的一些人随意拉进去，会影响用户的体验。,57,53,1
jayme,jayme,10010000008594,10010000008594,groupchat.page_view.permission,groupchat.page_view.permission,操作人员是非群主，在群聊页面，点击群组设置标志，页面转到群组设置页面，点击添加新成员，页面转到添加成员页面，有最近联系人列表，点击要拉…,68,60,1
jayme,jayme,10010000008956,10010000008956,groupchat.chat.other,groupchat.chat.other,拉人进群组是不需要本人同意的，这是非常尴尬的局面，可能会导致被凑人数，随便搜到然后拉入，我的测试正是有这样才能两个号就可以测试,63,59,1
jayme,jayme,10010000009218,10010000009218,groupchat.image_banner.other,groupchat.image_banner.other,在创建群聊时，用户可以选择添加自己的好友加入群，也可以添加陌生人加入群，并且这种添加不需要经过被添加人的同意，即用户可以随意添加任何人…,68,63,1
jayme,jayme,10010000009147,10010000009147,groupchat.chat.other,groupchat.chat.other,不经用户同意即可将其拉入群聊，影响用户使用。建议让用户选择是否加入。,34,31,1
jayme,jayme,10010000009578,10010000009578,groupchat.chat.other,groupchat.chat.other,当用户被别人拉入群时，不经过用户同意，用户就进入群聊，可能导致用户进入许多不想进的群。,43,39,1
jayme,jayme,10010000008814,10010000008814,groupchat.chat.other,groupchat.chat.other,创建群组时，群限制有不允许任何人加入该群,20,19,1
jayme,jayme,10010000009051,10010000009051,groupchat.page_view.other,groupchat.page_view.other,由于APP内没有被加群的相关中设置，用户可以被任意用户拉进群聊，即使把对方拉入黑名单，对方也是有权拉人进群，可能会造成一些骚扰。,64,59,1
jayme,jayme,10010000009066,10010000009066,groupchat.chat.cannot_or_fail,groupchat.chat.cannot_or_fail,不经过同意便可以给陌生人发送消息，拉黑后才能防止骚扰。但是，创建群聊时可以拉入陌生人，并且不需要经过他同意。就算用户被拉黑，也能将拉黑…,68,61,1
jayme,jayme,10010000008897,10010000008897,groupchat.chat.display_missing,groupchat.chat.display_missing,改了头像之后显示成功，但是在群聊里不显示改过的头像,25,24,1
jayme,jayme,10010000008900,10010000008900,groupchat.other.wrong_value,groupchat.other.wrong_value,在外面看群头像是最新的更新后的头像，但点进群看到的群成员头像是未更新的老头像,38,37,1
jayme,jayme,10010000009486,10010000009486,groupchat.chat.other,groupchat.chat.other,当改完名字或头像时，只有进入其个人主页才能看见更新后的资料，在群组中显示的信息都是第一次登陆时使用的头像和名称。,56,53,1
jayme,jayme,10010000009381,10010000009381,groupchat.page_view.other,groupchat.page_view.other,新建群聊，进入群聊页面,11,10,1
jayme,jayme,10010000008825,10010000008825,groupchat.chat.other,groupchat.chat.other,(1)进入群聊,7,5,1
jayme,jayme,10010000009141,10010000009141,other.chat.other,other.chat.other,每当在好友,5,5,1
jayme,jayme,10010000009360,10010000009360,other.other.other,other.other.other,昵称不一致，用户已改昵称与头像，但群里其他用户只能看到默认昵称与头像。,35,32,1
jayme,jayme,10010000009017,10010000009017,groupchat.page_view.wrong_value,groupchat.page_view.wrong_value,在群组设置页面，点击更改头像后选择手机相册，当选择两张图片是的提示信息错误，应该提示不能选择多张图片,50,47,1
jayme,jayme,10010000009543,10010000009543,groupchat.chat.other,groupchat.chat.other,在个人聊天或者是群聊的过程中,14,14,1
jayme,jayme,10010000008963,10010000008963,groupchat.page_view.other,groupchat.page_view.other,这个bug较小些了，但还是很有必要对其重视。当用户与用户私聊的时候，用户聊天界面里是只显示头像与聊天框的。在群聊中，会出现两种不同的情…,68,62,1
jayme,jayme,10010000009119,10010000009119,groupchat.page_view.cannot_or_fail,groupchat.page_view.cannot_or_fail,用户更改头像后，在群聊天的界面不能显示更改后的头像信息,27,26,1
jayme,jayme,10010000009737,10010000009737,other.list_item.other,other.list_item.other,更改群头像后，在我的孙列表里面显示的还为原来的头像，在群的里面是更改后的,36,34,1
jayme,jayme,10010000008801,10010000008801,search.chat.other,search.chat.other,当发起群聊时，通过搜索选择一大批用户，被选择的用户头像会显示在下方，然后当点击用户头像的时候，就相当于取消这个用户的选中状态，但是系统…,68,62,1
jayme,jayme,10010000007924,10010000007924,groupchat.chat.cannot_or_fail,groupchat.chat.cannot_or_fail,群组组员信息更新:群组中组员更改个人信息，如头像，名称，群组中无法更新至最新，还是初始信息。,46,40,1
jayme,jayme,10010000009764,10010000009764,groupchat.chat.freeze,groupchat.chat.freeze,修改头像后，在群聊消息中的头像显示延迟。,20,18,1
jayme,jayme,10010000008811,10010000008811,groupchat.page_view.other,groupchat.page_view.other,通过点击群组成员头像进入该成员个人页面，发现其信息修改之后，在群组中并未显现，并通过多次刷新，没有成功将成员默认头像及名称显现成成员自…,68,63,1
jayme,jayme,10010000009453,10010000009453,share.share_panel.cannot_share,share.share_panel.cannot_share,功能不全：如果用户想在第三方的群或者分享到本软件其他群，群成员无法复制群号码，只能群主复制群号码，造成群无法分享，功能不完全，用户体验较差。,70,63,1
jayme,jayme,10010000007651,10010000007651,register.list_item.cannot_or_fail,register.list_item.cannot_or_fail,发表帖子或者查看最新帖子时没有分享到其他其他软件的功能，若发现有用的信息只能注册后才能查看，非此软件注册用户无法获得好友在此软件分享的…,68,65,1
jayme,jayme,10010000008441,10010000008441,share.chat.cannot_or_fail,share.chat.cannot_or_fail,群聊时，不能收藏表情，长按表情有个分享功能，分享到qq，没有分享到微信好友，微博其他选项，我点击分享到qq时，手机反应很慢，最后手机卡…,68,59,1
jayme,jayme,10010000008147,10010000008147,share.button_icon.wrong_value,share.button_icon.wrong_value,聊天界面成功分享内容到QQ后，提示框按钮文字内容有错误同时在QQ聊天界面中，分享内容来源也有问题。,49,46,1
jayme,jayme,10010000007938,10010000007938,message_send.input_box.other,message_send.input_box.other,在红米Note手机上使用，长按 聊天输入框内的内容,25,23,1
jayme,jayme,10010000009591,10010000009591,other.other.other,other.other.other,（1）步骤重现：,8,5,1
jayme,jayme,10010000008217,10010000008217,groupchat.other.cannot_or_fail,groupchat.other.cannot_or_fail,没有踢人出群的提示，只有群里面的人主动突出，才能退出群，这样，当有人做出不符合群规范的事情，管理员无法对其做任何事情,58,53,1
jayme,jayme,10010000008938,10010000008938,groupchat.page_view.other,groupchat.page_view.other,被踢出群组后仍然能够看到在消息页面该群组,20,20,1
jayme,jayme,10010000007480,10010000007480,message_send.page_view.other,message_send.page_view.other,消息盒子点击编辑进去之后，退出时会有不正常的退出，界面显示黑色。,32,29,1
jayme,jayme,10010000007636,10010000007636,message_send.chat.other,message_send.chat.other,在消息盒子,5,5,1
jayme,jayme,10010000007630,10010000007630,message_send.chat.other,message_send.chat.other,点击消息盒子,6,6,1
jayme,jayme,10010000008880,10010000008880,message_send.input_box.other,message_send.input_box.other,快捷回复出现之后，用户选择一句话进行发送。语句直接发送出去。我认为快捷回复的内容应该先跳转到发送消息的文本框内，经用户确认之后再进行发…,68,63,1
jayme,jayme,10010000007632,10010000007632,message_send.chat.other,message_send.chat.other,点击消息盒子,6,6,1
jayme,jayme,10010000007626,10010000007626,message_send.page_view.other,message_send.page_view.other,对自己发的帖子进行评论时，杰迷吧页面，右上角的消息盒子右上角没有出现新信息提示，即没有出现红色小点，而且自己评论自己发的帖子时，会显示…,68,62,1
jayme,jayme,10010000007641,10010000007641,other.other.other,other.other.other,在杰迷吧,4,4,1
jayme,jayme,10010000007625,10010000007625,message_send.list_item.other,message_send.list_item.other,自己对自己发的帖子点赞时，没有也在消息盒子提示有新的消息，消息盒子右上角没有出现红色小点。,45,42,1
jayme,jayme,10010000008732,10010000008732,comment.other.other,comment.other.other,当添加完快捷回复的语句之后，没有办法进行修改,22,21,1
jayme,jayme,10010000007453,10010000007453,comment.other.other,comment.other.other,查看信息，回复我的贴子，回复我的回贴，@我的，赞我的,26,21,0
jayme,jayme,10010000008587,10010000008587,comment.other.cannot_or_fail,comment.other.cannot_or_fail,用户不能修改任意已有的快捷回复信息（不论是系统最初提供的还是用户自己创建的）,38,36,1
jayme,jayme,10010000008848,10010000008848,comment.input_box.other,comment.input_box.other,快捷回复和群名称编辑的时候，输入框设置了tirm（）,26,23,1
jayme,jayme,10010000008485,10010000008485,comment.button_icon.cannot_or_fail,comment.button_icon.cannot_or_fail,单击任意一条快捷回复信息右边的按钮，不能出现诸如“修改”、“删除”等按钮以对该条快捷回复信息进行相应的操作,53,47,1
jayme,jayme,10010000009412,10010000009412,comment.page_view.other,comment.page_view.other,当一个帖子有很多楼的跟帖时，当评论很高的楼时，评论成功后返回到“帖子详情”页面时跳会到了5楼左右。如图1，我在第65楼的跟帖中回复“t…,68,60,1
jayme,jayme,10010000009292,10010000009292,other.other.other,other.other.other,输入：创键群时输入群名称，填写相关信息，并保存,23,20,1
jayme,jayme,10010000008224,10010000008224,groupchat.chat.cannot_input,groupchat.chat.cannot_input,发起群聊，添加好友，创建群时，填入群名，系统默认的输入不能输入其他字符，只能通过第三方输入法输入其他个性字符,54,49,1
jayme,jayme,10010000009655,10010000009655,other.input_box.other,other.input_box.other,输入框未能显示出群名称输入字符数的限制是多少,22,22,1
jayme,jayme,10010000008480,10010000008480,other.page_view.other,other.page_view.other,任务二，填写群信息，修改群信息页面时，页面指示不清,25,22,1
jayme,jayme,10010000009818,10010000009818,groupchat.chat.cannot_or_fail,groupchat.chat.cannot_or_fail,群组名称在需求书上是要求，不多于64个字符，空格也是字符，在群组名称中填写空格这一字符，并不能添加成功,51,47,1
jayme,jayme,10010000008008,10010000008008,groupchat.page_view.no_prompt,groupchat.page_view.no_prompt,创建群组的时候，第一步勾选了好友，第二部填写群名称的时候界面没有提示不可以超过多少位字符，但在我字符数满了的时候就再也输入不了字符了。…,68,63,1
jayme,jayme,10010000008886,10010000008886,other.other.other,other.other.other,如图1与图2，当输入“x”与“d”时，未能显示出群信息。,28,21,1
jayme,jayme,10010000008121,10010000008121,other.other.no_prompt,other.other.no_prompt,进行完操作9之后，群名称到达限制的字数无提示。,23,21,1
jayme,jayme,10010000008170,10010000008170,other.other.other,other.other.other,用户建群时为群起名字的时候应有字数提示最大值和当前字数，,28,27,1
jayme,jayme,10010000009015,10010000009015,other.other.other,other.other.other,填写群名超过64个字，可以创建成功，不提示超过字数，但是自动截断,32,29,1
jayme,jayme,10010000008799,10010000008799,other.other.other,other.other.other,没有给出输入最多字数的提示。应该在即将到达最多字数时给出倒数计数提示。,35,33,1
jayme,jayme,10010000009438,10010000009438,search.chat.no_prompt,search.chat.no_prompt,在我的群组的搜索框中可以输入比群组名称更长的字符串！没有提示已达最大字数。,37,35,1
jayme,jayme,10010000007483,10010000007483,notification.button_icon.other,notification.button_icon.other,编辑当中，输入超过最大字数的字数，不会提醒。只有在点击发表按钮的时候会提醒。,38,34,1
jayme,jayme,10010000008859,10010000008859,other.other.layout_issue,other.other.layout_issue,群名称在编辑里面，字数超出限制，显示红色，而群简介里面，超出限制，没有任何提示,39,34,1
jayme,jayme,10010000008153,10010000008153,groupchat.chat.no_prompt,groupchat.chat.no_prompt,在创建群聊的时候，输入群名称，当群名称字数达到最大数字的时候没有提示用户已达最大字数！,43,40,1
jayme,jayme,10010000008215,10010000008215,other.other.layout_issue,other.other.layout_issue,输入群名称超出了64个字符之后，并不会进行提示，只是无法进行继续输入了，应该在此处加入一个提示的弹窗，说明字数的上限,58,54,1
jayme,jayme,10010000009956,10010000009956,groupchat.other.wrong_value,groupchat.other.wrong_value,创建群名以及申请加入群填写申请理由的时候，超过限制字数还可以继续输入，虽然最终创建的结果是在规定字数以内，但是软甲提醒的不明显。,64,60,1
jayme,jayme,10010000009046,10010000009046,groupchat.button_icon.no_prompt,groupchat.button_icon.no_prompt,当发起群聊添加联系人21名时，依然能点击确定按钮，输入群名称后点击右上角按钮，群创建不成功但是没有提示,51,48,1
jayme,jayme,10010000009501,10010000009501,groupchat.other.other,groupchat.other.other,在创建群时，同一群主可以建有相同群名称的群,21,20,1
jayme,jayme,10010000008165,10010000008165,search.other.other,search.other.other,用户可以创建群名称相同的群，当用户要搜索一个特定群时，用户需要查看名称相同的群，操作较为麻烦。,47,43,1
jayme,jayme,10010000009053,10010000009053,groupchat.other.no_prompt,groupchat.other.no_prompt,创建群名长度为65，应用没有提示。,17,15,1
jayme,jayme,10010000009670,10010000009670,groupchat.other.other,groupchat.other.other,如图1与图2，用群名称“ubwuxbsjxbxjxhsjsbsvshshsbsbbsbwbsjshwjwhwbshsbxbbxbxbx…,68,65,1
jayme,jayme,10010000008392,10010000008392,other.page_view.other,other.page_view.other,任务一，朋友页面右上角—更多,14,12,1
jayme,jayme,10010000009397,10010000009397,search.other.cannot_or_fail,search.other.cannot_or_fail,当查找加入群时，搜索自己创建的群名为“乱七八糟群”的群，不能搜索到,33,29,1
jayme,jayme,10010000008069,10010000008069,search.button_icon.other,search.button_icon.other,正常登陆软件点击创建群组后，进入选择联系人界面，通过搜索（放大镜图标）添加联系人时，点击确定后群名称对话框内汉字出现短暂性重影（2秒左右）。,70,62,1
jayme,jayme,10010000009418,10010000009418,groupchat.chat.cannot_or_fail,groupchat.chat.cannot_or_fail,创建群组是，群名称没有相关提示不能超过64个字符,24,23,1
jayme,jayme,10010000009266,10010000009266,groupchat.other.display_missing,groupchat.other.display_missing,创建群的时候，群名称最多只能显示64个字符，超过的字符用...表示，显示不出来,39,33,1
jayme,jayme,10010000009174,10010000009174,settings.page_view.no_prompt,settings.page_view.no_prompt,在填写群信息时，将群名称设置为空或者群名称超过64个字符，点击“确定”，创建不成功但是没有提示,47,42,1
jayme,jayme,10010000009104,10010000009104,groupchat.chat.other,groupchat.chat.other,创建群聊时，规则为群名称不允许为空，且最多不得超过 64 个字符，但是我在创建群聊时输入超过64个字符没有任何提示，而且可以成功创建。,67,60,1
jayme,jayme,10010000008286,10010000008286,other.other.cannot_or_fail,other.other.cannot_or_fail,群名称不能大于64个字符，输入群名称过程中，输入到64个字符，就输入不进去了，但是创建的时候可以创建成功，并不提示群名称不能大于64个字符。,70,64,1
jayme,jayme,10010000008613,10010000008613,groupchat.button_icon.other,groupchat.button_icon.other,进入聊天界面，点击群组图标进入“我的群组”界面，点击该界面右上角三道杠图标可发起群聊，进入添加成员界面，选择好友“夏璨”，点击确定按钮…,68,58,1
jayme,jayme,10010000008218,10010000008218,groupchat.button_icon.other,groupchat.button_icon.other,进入聊天界面，点击群组图标进入“我的群组”界面，点击该界面右上角三道杠图标可发起群聊,42,38,1
jayme,jayme,10010000008406,10010000008406,groupchat.chat.other,groupchat.chat.other,用例名称：创建群组,9,8,1
jayme,jayme,10010000008407,10010000008407,settings.page_view.other,settings.page_view.other,创建一个“默默默默”群之后，再创建一个群，群名称设置为“默默默默”，仍可创建。,39,31,1
jayme,jayme,10010000008088,10010000008088,search.page_view.no_prompt,search.page_view.no_prompt,当用户发起群聊，进入搜索和群名设置，人员和群名全部重复，应用没有提示重复创建，而是重复建立多个相同群组,51,47,1
jayme,jayme,10010000009487,10010000009487,groupchat.page_view.freeze,groupchat.page_view.freeze,创建群组时，在群信息设置处，左上角的群名有瞬间的延迟，会从相对左下方向右上方移动。,41,37,1
jayme,jayme,10010000008951,10010000008951,search.other.other,search.other.other,创建群，输入群名称时，表情也可以作为名称，由于手机输入法自带表情不一致导致查找群时使用关键字搜索不到，,51,47,1
jayme,jayme,10010000008257,10010000008257,other.other.other,other.other.other,前提：群成功创建,8,7,1
jayme,jayme,10010000009337,10010000009337,groupchat.chat.other,groupchat.chat.other,创建群聊时，填写群聊名称。限制长度为64个字符，但是在用户第一次填写群聊名称时没有指明，而仅仅在创建群聊之后，修改群名称才出现明确的字…,68,62,1
jayme,jayme,10010000008845,10010000008845,groupchat.chat.other,groupchat.chat.other,用例名称：创建名称相同的群聊,14,13,1
jayme,jayme,10010000008091,10010000008091,groupchat.page_view.other,groupchat.page_view.other,创建群组的界面，蓝色的群名称字体太小，整个界面看起来不协调。,30,27,1
jayme,jayme,10010000009560,10010000009560,groupchat.other.cannot_or_fail,groupchat.other.cannot_or_fail,创建群时，群名称键入空格键提示群名称为空白无法建群。但空白占用了字符数，超过64字符的空白格也算字符。,51,47,1
jayme,jayme,10010000009433,10010000009433,groupchat.chat.other,groupchat.chat.other,需求要求不允许使用空白作为群名称，但是app只过滤了常用的空白副符，unicode的一些不常见的可以创建没有名称的群聊,59,57,1
jayme,jayme,10010000009078,10010000009078,other.page_view.other,other.page_view.other,当点击朋友页面右上角—更多,13,12,1
jayme,jayme,10010000008411,10010000008411,search.chat.other,search.chat.other,点击发起群聊，在新建群聊时下面有最近联系人可供选择，上面有添加成员的搜索。由于没有任何提示，在没有进行搜索前，用户根据经验认知，会得出…,68,61,1
jayme,jayme,10010000009158,10010000009158,groupchat.page_view.cannot_or_fail,groupchat.page_view.cannot_or_fail,聊天页面右上角任务栏，发起群聊，点击添加最近联系人，需要点击至少一个人才能点击确定，一个人无法建群。,50,45,1
jayme,jayme,10010000008795,10010000008795,login.page_view.other,login.page_view.other,登录后，打开聊天界面，点击右上角的发起群聊，可以向最近联系人发起，不管该联系人是否被加为好友都可以发起群聊。,54,49,1
jayme,jayme,10010000007987,10010000007987,groupchat.page_view.other,groupchat.page_view.other,群组页面右上角—更多,10,9,1
jayme,jayme,10010000008168,10010000008168,groupchat.page_view.permission,groupchat.page_view.permission,新建群的入口，点击朋友页面右上角更多“发起群聊”之后，需要选择（至少一个）好友，才可以点击确定，进入新建群的页面（设置群名称、权限等）,67,56,1
jayme,jayme,10010000008527,10010000008527,groupchat.page_view.permission,groupchat.page_view.permission,新建群的入口，点击朋友页面右上角更多“发起群聊”之后，需要选择（至少一个）好友，才可以点击确定，进入新建群的页面（设置群名称、权限等）,67,56,1
jayme,jayme,10010000007967,10010000007967,other.page_view.other,other.page_view.other,当点击朋友页面右上角—更多,13,12,1
jayme,jayme,10010000009607,10010000009607,groupchat.chat.cannot_or_fail,groupchat.chat.cannot_or_fail,一个人无法发起群聊，即无法建群。但是却可以存在一个人的群。,29,26,1
jayme,jayme,10010000009060,10010000009060,search.other.other,search.other.other,查找群：搜索框中输入一位数字进行搜索，搜索结果出错（出现名字中没有该数字的结果）,40,36,1
jayme,jayme,10010000009979,10010000009979,search.other.other,search.other.other,查找群：搜索框中输入一位字符进行搜索，搜索结果出错（出现名字中没有该字符的结果）,40,36,1
jayme,jayme,10010000009919,10010000009919,search.chat.cannot_or_fail,search.chat.cannot_or_fail,输入数字、字母、中文、空格、符号查询群组时，输入数字、字母、空格不能查找显示对应的群组,43,36,1
jayme,jayme,10010000009795,10010000009795,search.other.cannot_or_fail,search.other.cannot_or_fail,搜索时通过数字，字母，符号，中文，空格等查找时，中文和符号能准确查找，数字，字母和空格不能准确查找，,50,42,1
jayme,jayme,10010000009727,10010000009727,other.other.other,other.other.other,输入字母时，不是存在该字母的提示并显示，而是把中文的也提示了出来,32,30,1
jayme,jayme,10010000009320,10010000009320,search.chat.other,search.chat.other,在我的群组中通过搜索框进行群组搜索，输入数字，出现与数字不匹配的群名称。,36,33,1
jayme,jayme,10010000008176,10010000008176,other.page_view.other,other.page_view.other,"在""我的所有群""界面中，第一个群旁边有一个数字1，用户并不清除这代表什么意思。",39,34,1
jayme,jayme,10010000009150,10010000009150,groupchat.other.cannot_or_fail,groupchat.other.cannot_or_fail,每个群都有唯一的群号，但群号都是数字。如果有人新建群，并以与群号相同的数字命名群昵称，这样就无法实现精确匹配了。,56,51,1
jayme,jayme,10010000008233,10010000008233,search.button_icon.other,search.button_icon.other,在我的群组界面时，点击搜索按钮，输入文字搜索结果正常，输入数字1时，搜索结果不正常。,42,37,1
jayme,jayme,10010000009422,10010000009422,search.page_view.other,search.page_view.other,搜索是如果是数字会将群的id也搜索在内，而群昵称中有很多不包含该数字，该情况会是使用这错乱，并且增加使用者的搜索力度，添加麻烦，可以设…,68,62,1
jayme,jayme,10010000009313,10010000009313,search.chat.other,search.chat.other,点击群组查找群，输入阿拉伯数字，如1，22等，会出现与搜索条件无关的群组。,37,32,1
jayme,jayme,10010000009899,10010000009899,search.other.other,search.other.other,当进行我加入的群搜索时，搜索结果里有和输入内容不相关的选项，导致搜索结果很多，不方便选择,44,41,1
jayme,jayme,10010000008989,10010000008989,search.other.other,search.other.other,点击他人发的群号码时只有拨打号码等选项而无搜索的选项,26,26,1
jayme,jayme,10010000008132,10010000008132,search.button_icon.other,search.button_icon.other,用户以为在“查找群”旁边单击即可输入搜索信息，但是实际上用户必须单击右上角的搜索小图标后才会出现搜索框,51,48,1
jayme,jayme,10010000009517,10010000009517,search.other.cannot_or_fail,search.other.cannot_or_fail,有的时候通过群号搜索不能找到群。,16,15,0
jayme,jayme,10010000009660,10010000009660,search.other.cannot_or_fail,search.other.cannot_or_fail,有的时候通过群号搜索不能找到群。,16,15,0
jayme,jayme,10010000009135,10010000009135,search.other.no_prompt,search.other.no_prompt,输入没有查找结果的搜索条件后，系统没有提示“没有找到相关群”,30,27,1
jayme,jayme,10010000009390,10010000009390,search.page_view.cannot_input,search.page_view.cannot_input,在查找群时，当输入的群号没有找到相应的群组时，就什么提示也没有，也不显示搜索，也不退出，只是停留在那个页面。,54,48,1
jayme,jayme,10010000009450,10010000009450,search.other.other,search.other.other,在查找群功能中，输入表情符号，搜索结果不符合用户要求。,27,24,1
jayme,jayme,10010000009420,10010000009420,search.other.other,search.other.other,在查找群时，输入群号，提示的群不符合设计需求，提示无关信息！,30,26,1
jayme,jayme,10010000009002,10010000009002,search.input_box.no_prompt,search.input_box.no_prompt,"在查找群过程中，在输入框中输入123,110等信息，搜索结果不符合用户需求，搜索框未提示以什么方式搜索。",52,47,1
jayme,jayme,10010000008889,10010000008889,other.other.other,other.other.other,【预置条件】,6,4,1
jayme,jayme,10010000009429,10010000009429,search.other.other,search.other.other,在群搜索的时候，输入的文本无规律时，即使没有搜索到结果，也没有 提示,34,30,1
jayme,jayme,10010000008231,10010000008231,search.button_icon.cannot_or_fail,search.button_icon.cannot_or_fail,点击搜索按钮，输入群信息，在搜索结果中选择未加入的群，并点击，无法查看群信息，并提示未找到群资料，属于用户体验bug,58,52,1
jayme,jayme,10010000009123,10010000009123,search.button_icon.other,search.button_icon.other,点击搜索按钮，输入群信息，选择已加入的群组，点击，可直接进入聊天，点击群头像，只显示群信息，与需求（即显示“开始聊天”按钮）不符,64,53,1
jayme,jayme,10010000009521,10010000009521,search.other.other,search.other.other,在查找不存在的群，没有反馈结果,15,14,1
jayme,jayme,10010000009026,10010000009026,search.other.other,search.other.other,在查找群的时候，如果不存在该群名称，搜索结果无任何反馈,27,25,1
jayme,jayme,10010000009479,10010000009479,search.chat.other,search.chat.other,"通过关键字“杰伦”和“杰”查找群组, 无相关群组信息,",27,20,1
jayme,jayme,10010000008469,10010000008469,search.page_view.freeze,search.page_view.freeze,进入查找群的入口，输入关键词，页面有一分钟就像卡机一样什么反应也没有，一分钟之后才显示搜索出来的结果。应该显示一个正在搜索的提示，不然…,68,62,1
jayme,jayme,10010000008193,10010000008193,search.other.wrong_value,search.other.wrong_value,功能性错误：查找群，筛选显示的不是app中的群，而是已经加入的群。,33,29,1
jayme,jayme,10010000008243,10010000008243,search.other.other,search.other.other,查找群时，输入群昵称搜索不到群,15,14,1
jayme,jayme,10010000009809,10010000009809,search.other.cannot_or_fail,search.other.cannot_or_fail,查找群时，搜索框再左边点击不能搜索。用户体验不够好,25,23,1
